period_month,temp_mean_c_avg,temp_max_c_avg,temp_max_c_peak,temp_min_c_avg,temp_min_c_low,temp_range_c_avg,rh_mean_pct_avg,rainfall_mm_sum,rainfall_day_count,hot_day_count,cool_day_count
1994-10-01,24.92258064516129,27.48709677419355,31.1,22.893548387096775,16.5,4.593548387096774,67.45161290322581,2.2,3,4,0
1994-11-01,22.913333333333334,25.293333333333333,27.1,21.14333333333333,19.9,4.15,73.56666666666666,0.2,1,0,0
1994-12-01,19.783870967741933,21.529032258064515,25.7,18.225806451612904,13.7,3.303225806451613,81.03225806451613,122.6,13,0,0
1995-01-01,16.119354838709675,18.112903225806452,23.0,14.32258064516129,9.2,3.7903225806451615,74.96774193548387,21.1,7,0,9
1995-02-01,15.107142857142858,17.039285714285715,22.3,13.521428571428572,10.4,3.517857142857143,75.67857142857143,33.1,11,0,6
1995-03-01,17.925806451612903,20.258064516129032,25.2,16.070967741935483,12.5,4.187096774193549,78.35483870967742,32.4,10,0,0
1995-04-01,22.509999999999998,25.076666666666664,30.2,20.676666666666666,14.5,4.4,85.13333333333334,76.3,7,1,0
1995-05-01,25.983870967741936,28.758064516129032,34.2,24.10967741935484,20.8,4.648387096774194,81.74193548387096,20.8,9,13,0
1995-06-01,28.69,31.176666666666666,33.6,27.103333333333335,24.8,4.073333333333333,80.33333333333333,243.9,19,24,0
1995-07-01,27.983870967741936,30.55483870967742,33.4,25.983870967741936,23.5,4.570967741935484,84.29032258064517,668.7,23,20,0
1995-08-01,27.36774193548387,29.86774193548387,33.9,25.325806451612905,23.1,4.541935483870968,85.70967741935483,1090.1,22,15,0
1995-09-01,27.62,30.113333333333333,33.4,25.743333333333332,22.8,4.37,77.36666666666666,81.4,16,15,0
1995-10-01,25.299999999999997,27.23548387096774,30.1,23.741935483870968,21.4,3.4935483870967747,77.7741935483871,476.9,13,2,0
1995-11-01,21.2,24.566666666666666,27.9,18.78666666666667,13.9,5.78,63.96666666666667,1.8,4,0,0
1995-12-01,17.35483870967742,19.74516129032258,22.8,15.083870967741936,11.6,4.661290322580645,63.29032258064516,7.9,1,0,1
1996-01-01,17.76774193548387,19.925806451612903,24.1,15.835483870967742,12.1,4.090322580645161,71.25806451612904,1.3,4,0,0
1996-02-01,14.89655172413793,17.127586206896552,26.4,12.858620689655172,5.8,4.268965517241379,74.51724137931035,27.2,14,0,11
1996-03-01,19.716129032258067,22.23225806451613,28.5,17.638709677419353,10.8,4.593548387096774,82.87096774193549,83.1,13,0,2
1996-04-01,20.423333333333336,22.833333333333332,28.8,18.493333333333332,10.9,4.34,81.63333333333334,228.7,10,0,2
1996-05-01,25.038709677419355,27.64516129032258,30.6,23.206451612903226,20.5,4.4387096774193555,80.61290322580645,313.9,15,5,0
1996-06-01,28.766666666666666,31.176666666666666,33.2,26.873333333333335,24.7,4.303333333333334,79.2,404.0,17,25,0
1996-07-01,29.251612903225805,31.76774193548387,34.3,27.135483870967743,24.4,4.632258064516129,78.74193548387096,230.3,17,27,0
1996-08-01,28.503225806451614,30.838709677419356,33.5,26.661290322580644,22.6,4.17741935483871,80.61290322580645,308.3,14,24,0
1996-09-01,27.673333333333336,29.903333333333332,33.0,25.69333333333333,23.6,4.21,80.4,604.0,19,17,0
1996-10-01,25.96451612903226,28.174193548387095,30.3,24.029032258064515,20.5,4.145161290322581,73.6774193548387,44.8,8,2,0
1996-11-01,23.003333333333334,25.313333333333333,29.8,21.12,16.3,4.193333333333333,69.03333333333333,3.5,5,0,0
1996-12-01,18.34193548387097,20.396774193548385,24.8,16.39032258064516,13.5,4.006451612903226,64.16129032258064,0.0,0,0,0
1997-01-01,16.687096774193545,18.874193548387098,23.9,14.725806451612904,10.2,4.148387096774194,70.61290322580645,44.6,6,0,6
1997-02-01,16.15,18.02857142857143,24.6,14.553571428571429,10.9,3.475,78.92857142857143,111.7,11,0,1
1997-03-01,20.061290322580643,22.47741935483871,27.1,18.32903225806452,14.2,4.1483870967741945,81.7741935483871,34.8,10,0,0
1997-04-01,22.753333333333334,24.990000000000002,29.7,21.243333333333332,18.8,3.746666666666667,82.83333333333333,133.2,11,0,0
1997-05-01,26.061290322580643,28.458064516129035,31.8,24.1,21.3,4.358064516129032,81.74193548387096,300.8,18,9,0
1997-06-01,27.326666666666664,29.470000000000002,32.1,25.613333333333333,22.3,3.856666666666667,85.33333333333333,783.6,23,18,0
1997-07-01,28.106451612903225,30.25483870967742,33.2,26.106451612903225,22.6,4.148387096774194,84.03225806451613,746.0,18,16,0
1997-08-01,28.38064516129032,30.677419354838708,33.2,26.25483870967742,23.8,4.422580645161291,82.87096774193549,829.0,21,20,0
1997-09-01,26.40666666666667,28.546666666666667,31.5,24.526666666666664,19.3,4.02,79.16666666666667,232.89999999999998,15,11,0
1997-10-01,25.903225806451612,27.903225806451612,30.4,24.299999999999997,19.5,3.603225806451613,78.48387096774194,112.8,7,2,0
1997-11-01,23.14333333333333,25.259999999999998,28.6,21.2,15.8,4.06,70.86666666666666,7.1,4,0,0
1997-12-01,18.906451612903226,20.883870967741935,25.2,17.080645161290324,12.4,3.803225806451613,75.03225806451613,6.5,3,0,0
1998-01-01,16.845161290322583,18.9741935483871,25.9,15.04516129032258,9.7,3.929032258064516,80.70967741935483,48.9,8,0,6
1998-02-01,17.20357142857143,19.314285714285713,26.0,15.15,8.9,4.164285714285714,83.46428571428571,153.7,17,0,4
