user_type,user_typedesc,freq,period,sv,svdesc,figure,sd_value,period_month
4,Street lighting,M,198007,ELEC_LOCAL,Terajoule,10.0,,1980-07-01
,Total,M,198007,ELEC_LOCAL,Terajoule,4119.0,,1980-07-01
,,M,198007,ELE_EX_CHN,Terajoule,92.0,,1980-07-01
2,Commercial,M,198007,GASC_LOCAL,Terajoule,124.0,,1980-07-01
1,Domestic,M,198007,GASC_LOCAL,Terajoule,123.0,,1980-07-01
3,Industrial,M,198007,GASC_LOCAL,Terajoule,18.0,,1980-07-01
,Total,M,198007,GASC_LOCAL,Terajoule,265.0,,1980-07-01
2,Commercial,M,198008,ELEC_LOCAL,Terajoule,1556.0,,1980-08-01
1,Domestic,M,198008,ELEC_LOCAL,Terajoule,983.0,,1980-08-01
3,Industrial,M,198008,ELEC_LOCAL,Terajoule,1425.0,,1980-08-01
4,Street lighting,M,198008,ELEC_LOCAL,Terajoule,10.0,,1980-08-01
,Total,M,198008,ELEC_LOCAL,Terajoule,3974.0,,1980-08-01
,,M,198008,ELE_EX_CHN,Terajoule,37.0,,1980-08-01
2,Commercial,M,198008,GASC_LOCAL,Terajoule,125.0,,1980-08-01
1,Domestic,M,198008,GASC_LOCAL,Terajoule,114.0,,1980-08-01
3,Industrial,M,198008,GASC_LOCAL,Terajoule,18.0,,1980-08-01
,Total,M,198008,GASC_LOCAL,Terajoule,256.0,,1980-08-01
2,Commercial,M,198009,ELEC_LOCAL,Terajoule,1559.0,,1980-09-01
1,Domestic,M,198009,ELEC_LOCAL,Terajoule,945.0,,1980-09-01
3,Industrial,M,198009,ELEC_LOCAL,Terajoule,1383.0,,1980-09-01
4,Street lighting,M,198009,ELEC_LOCAL,Terajoule,11.0,,1980-09-01
,Total,M,198009,ELEC_LOCAL,Terajoule,3898.0,,1980-09-01
,,M,198009,ELE_EX_CHN,Terajoule,71.0,,1980-09-01
2,Commercial,M,198009,GASC_LOCAL,Terajoule,124.0,,1980-09-01
1,Domestic,M,198009,GASC_LOCAL,Terajoule,116.0,,1980-09-01
3,Industrial,M,198009,GASC_LOCAL,Terajoule,18.0,,1980-09-01
,Total,M,198009,GASC_LOCAL,Terajoule,257.0,,1980-09-01
2,Commercial,M,198010,ELEC_LOCAL,Terajoule,1519.0,,1980-10-01
1,Domestic,M,198010,ELEC_LOCAL,Terajoule,764.0,,1980-10-01
3,Industrial,M,198010,ELEC_LOCAL,Terajoule,1366.0,,1980-10-01
4,Street lighting,M,198010,ELEC_LOCAL,Terajoule,11.0,,1980-10-01
,Total,M,198010,ELEC_LOCAL,Terajoule,3660.0,,1980-10-01
,,M,198010,ELE_EX_CHN,Terajoule,110.0,,1980-10-01
2,Commercial,M,198010,GASC_LOCAL,Terajoule,131.0,,1980-10-01
1,Domestic,M,198010,GASC_LOCAL,Terajoule,131.0,,1980-10-01
3,Industrial,M,198010,GASC_LOCAL,Terajoule,16.0,,1980-10-01
,Total,M,198010,GASC_LOCAL,Terajoule,278.0,,1980-10-01
2,Commercial,M,198011,ELEC_LOCAL,Terajoule,1302.0,,1980-11-01
1,Domestic,M,198011,ELEC_LOCAL,Terajoule,608.0,,1980-11-01
3,Industrial,M,198011,ELEC_LOCAL,Terajoule,1253.0,,1980-11-01
4,Street lighting,M,198011,ELEC_LOCAL,Terajoule,12.0,,1980-11-01
,Total,M,198011,ELEC_LOCAL,Terajoule,3175.0,,1980-11-01
,,M,198011,ELE_EX_CHN,Terajoule,117.0,,1980-11-01
2,Commercial,M,198011,GASC_LOCAL,Terajoule,136.0,,1980-11-01
1,Domestic,M,198011,GASC_LOCAL,Terajoule,146.0,,1980-11-01
3,Industrial,M,198011,GASC_LOCAL,Terajoule,18.0,,1980-11-01
,Total,M,198011,GASC_LOCAL,Terajoule,299.0,,1980-11-01
2,Commercial,M,198012,ELEC_LOCAL,Terajoule,1205.0,,1980-12-01
1,Domestic,M,198012,ELEC_LOCAL,Terajoule,533.0,,1980-12-01
3,Industrial,M,198012,ELEC_LOCAL,Terajoule,1223.0,,1980-12-01
4,Street lighting,M,198012,ELEC_LOCAL,Terajoule,12.0,,1980-12-01
,Total,M,198012,ELEC_LOCAL,Terajoule,2973.0,,1980-12-01
,,M,198012,ELE_EX_CHN,Terajoule,106.0,,1980-12-01
2,Commercial,M,198012,GASC_LOCAL,Terajoule,139.0,,1980-12-01
1,Domestic,M,198012,GASC_LOCAL,Terajoule,165.0,,1980-12-01
3,Industrial,M,198012,GASC_LOCAL,Terajoule,19.0,,1980-12-01
,Total,M,198012,GASC_LOCAL,Terajoule,323.0,,1980-12-01
2,Commercial,M,198101,ELEC_LOCAL,Terajoule,1155.0,,1981-01-01
1,Domestic,M,198101,ELEC_LOCAL,Terajoule,599.0,,1981-01-01
3,Industrial,M,198101,ELEC_LOCAL,Terajoule,1163.0,,1981-01-01
4,Street lighting,M,198101,ELEC_LOCAL,Terajoule,12.0,,1981-01-01
,Total,M,198101,ELEC_LOCAL,Terajoule,2929.0,,1981-01-01
,,M,198101,ELE_EX_CHN,Terajoule,115.0,,1981-01-01
2,Commercial,M,198101,GASC_LOCAL,Terajoule,152.0,,1981-01-01
1,Domestic,M,198101,GASC_LOCAL,Terajoule,192.0,,1981-01-01
3,Industrial,M,198101,GASC_LOCAL,Terajoule,19.0,,1981-01-01
,Total,M,198101,GASC_LOCAL,Terajoule,363.0,,1981-01-01
2,Commercial,M,198102,ELEC_LOCAL,Terajoule,1106.0,,1981-02-01
1,Domestic,M,198102,ELEC_LOCAL,Terajoule,585.0,,1981-02-01
3,Industrial,M,198102,ELEC_LOCAL,Terajoule,855.0,,1981-02-01
4,Street lighting,M,198102,ELEC_LOCAL,Terajoule,13.0,,1981-02-01
,Total,M,198102,ELEC_LOCAL,Terajoule,2559.0,,1981-02-01
,,M,198102,ELE_EX_CHN,Terajoule,99.0,,1981-02-01
2,Commercial,M,198102,GASC_LOCAL,Terajoule,153.0,,1981-02-01
1,Domestic,M,198102,GASC_LOCAL,Terajoule,210.0,,1981-02-01
3,Industrial,M,198102,GASC_LOCAL,Terajoule,14.0,,1981-02-01
,Total,M,198102,GASC_LOCAL,Terajoule,378.0,,1981-02-01
2,Commercial,M,198103,ELEC_LOCAL,Terajoule,1180.0,,1981-03-01
1,Domestic,M,198103,ELEC_LOCAL,Terajoule,546.0,,1981-03-01
3,Industrial,M,198103,ELEC_LOCAL,Terajoule,1120.0,,1981-03-01
4,Street lighting,M,198103,ELEC_LOCAL,Terajoule,12.0,,1981-03-01
,Total,M,198103,ELEC_LOCAL,Terajoule,2858.0,,1981-03-01
,,M,198103,ELE_EX_CHN,Terajoule,111.0,,1981-03-01
2,Commercial,M,198103,GASC_LOCAL,Terajoule,135.0,,1981-03-01
1,Domestic,M,198103,GASC_LOCAL,Terajoule,183.0,,1981-03-01
3,Industrial,M,198103,GASC_LOCAL,Terajoule,17.0,,1981-03-01
,Total,M,198103,GASC_LOCAL,Terajoule,335.0,,1981-03-01
2,Commercial,M,198104,ELEC_LOCAL,Terajoule,1364.0,,1981-04-01
1,Domestic,M,198104,ELEC_LOCAL,Terajoule,612.0,,1981-04-01
3,Industrial,M,198104,ELEC_LOCAL,Terajoule,1247.0,,1981-04-01
4,Street lighting,M,198104,ELEC_LOCAL,Terajoule,11.0,,1981-04-01
,Total,M,198104,ELEC_LOCAL,Terajoule,3234.0,,1981-04-01
,,M,198104,ELE_EX_CHN,Terajoule,102.0,,1981-04-01
2,Commercial,M,198104,GASC_LOCAL,Terajoule,146.0,,1981-04-01
1,Domestic,M,198104,GASC_LOCAL,Terajoule,177.0,,1981-04-01
3,Industrial,M,198104,GASC_LOCAL,Terajoule,19.0,,1981-04-01
,Total,M,198104,GASC_LOCAL,Terajoule,343.0,,1981-04-01
2,Commercial,M,198105,ELEC_LOCAL,Terajoule,1488.0,,1981-05-01
1,Domestic,M,198105,ELEC_LOCAL,Terajoule,681.0,,1981-05-01
3,Industrial,M,198105,ELEC_LOCAL,Terajoule,1376.0,,1981-05-01
4,Street lighting,M,198105,ELEC_LOCAL,Terajoule,11.0,,1981-05-01
,Total,M,198105,ELEC_LOCAL,Terajoule,3556.0,,1981-05-01
,,M,198105,ELE_EX_CHN,Terajoule,41.0,,1981-05-01
2,Commercial,M,198105,GASC_LOCAL,Terajoule,144.0,,1981-05-01
1,Domestic,M,198105,GASC_LOCAL,Terajoule,167.0,,1981-05-01
3,Industrial,M,198105,GASC_LOCAL,Terajoule,18.0,,1981-05-01
,Total,M,198105,GASC_LOCAL,Terajoule,329.0,,1981-05-01
2,Commercial,M,198106,ELEC_LOCAL,Terajoule,1568.0,,1981-06-01
1,Domestic,M,198106,ELEC_LOCAL,Terajoule,736.0,,1981-06-01
3,Industrial,M,198106,ELEC_LOCAL,Terajoule,1404.0,,1981-06-01
4,Street lighting,M,198106,ELEC_LOCAL,Terajoule,11.0,,1981-06-01
,Total,M,198106,ELEC_LOCAL,Terajoule,3719.0,,1981-06-01
,,M,198106,ELE_EX_CHN,Terajoule,38.0,,1981-06-01
2,Commercial,M,198106,GASC_LOCAL,Terajoule,153.0,,1981-06-01
1,Domestic,M,198106,GASC_LOCAL,Terajoule,160.0,,1981-06-01
3,Industrial,M,198106,GASC_LOCAL,Terajoule,21.0,,1981-06-01
,Total,M,198106,GASC_LOCAL,Terajoule,333.0,,1981-06-01
2,Commercial,M,198107,ELEC_LOCAL,Terajoule,1735.0,,1981-07-01
1,Domestic,M,198107,ELEC_LOCAL,Terajoule,967.0,,1981-07-01
3,Industrial,M,198107,ELEC_LOCAL,Terajoule,1466.0,,1981-07-01
4,Street lighting,M,198107,ELEC_LOCAL,Terajoule,11.0,,1981-07-01
,Total,M,198107,ELEC_LOCAL,Terajoule,4179.0,,1981-07-01
,,M,198107,ELE_EX_CHN,Terajoule,17.0,,1981-07-01
2,Commercial,M,198107,GASC_LOCAL,Terajoule,144.0,,1981-07-01
1,Domestic,M,198107,GASC_LOCAL,Terajoule,154.0,,1981-07-01
3,Industrial,M,198107,GASC_LOCAL,Terajoule,18.0,,1981-07-01
,Total,M,198107,GASC_LOCAL,Terajoule,315.0,,1981-07-01
2,Commercial,M,198108,ELEC_LOCAL,Terajoule,1721.0,,1981-08-01
