period_month,building_consent_demolition_count,building_consent_site_formation_count,building_consent_foundation_count,building_consent_superstructure_count,building_consent_total_count,occupation_permits_domestic_count,occupation_permits_non_domestic_count,occupation_permits_composite_count,occupation_permits_total_count,occupation_permits_domestic_units,building_completion_domestic_gfa,building_completion_non_domestic_gfa,building_completion_total_gfa,building_completion_domestic_ufa,building_completion_non_domestic_ufa,building_completion_total_ufa,building_completion_domestic_units,building_completion_declared_cost_hkd,building_completion_declared_cost_aa_hkd
2021-05-01,9,11,8,10,38,6,10,5,21,3679,200899.8,124723.1,325622.9,107108.0,52566.6,159674.6,3679,10850080845.0,415441510.8
2021-06-01,12,6,22,10,50,3,12,4,19,1170,65786.0,43996.2,109782.2,36129.8,17415.1,53544.9,1170,3620408698.0,465750999.1
2021-07-01,5,7,16,7,35,2,9,1,12,1097,68709.9,26059.2,94769.1,39861.4,7054.9,46916.3,1097,2515578190.0,246388170.0
2021-08-01,10,8,18,24,60,4,11,0,15,510,37874.5,7390.8,45265.3,18317.6,3647.6,21965.2,510,1214978508.0,657013975.8
2021-09-01,9,6,14,13,42,7,14,3,24,603,28016.0,41871.4,69887.4,14601.5,17477.7,32079.2,603,4092404954.0,728147653.3
2021-10-01,4,5,10,10,29,3,10,1,14,161,4709.9,35115.7,39825.6,2475.9,19657.3,22133.2,161,1486505000.0,828486753.9
2021-11-01,12,10,21,14,57,3,10,3,16,1295,68161.9,40350.1,108512.0,38430.2,21470.6,59900.8,1295,4390075600.0,759874266.7
2021-12-01,11,7,9,3,30,4,5,2,11,1762,89544.1,70567.5,160111.6,47225.5,49181.7,96407.2,1762,6154400152.0,368487743.0
2022-01-01,10,7,12,8,37,5,12,3,19,4747,220135.1,202297.9,422433.0,119077.4,132859.4,251936.8,4747,16262254130.0,465922135.0
2022-02-01,8,3,10,6,27,2,4,2,8,2910,198884.5,146516.7,345401.2,113188.5,99176.4,212364.9,2910,14931055382.0,174430430.0
2022-03-01,14,3,12,15,44,5,12,1,18,771,39108.2,59794.0,98902.2,22391.8,36429.2,58821.0,771,14580080988.0,258862425.5
2022-04-01,10,4,15,14,43,5,8,3,16,3696,143427.2,98592.3,242019.5,77586.7,49492.0,127078.7,3696,6406795691.0,579834075.0
