prod_type,prod_typedesc,freq,period,sv,svdesc,figure,sd_value,table_title,source_name
ELEC,Electricity,Y,2022,PROD,Terajoule,174380.0,,Generating capacity and peak demand of electricity and gas,censtatd_peak_demand_annual
GAS,Gas,Y,2022,PROD,Terajoule,27398.0,,Generating capacity and peak demand of electricity and gas,censtatd_peak_demand_annual
ELEC,Electricity,Y,2023,PROD,Terajoule,176820.0,,Generating capacity and peak demand of electricity and gas,censtatd_peak_demand_annual
GAS,Gas,Y,2023,PROD,Terajoule,27125.0,,Generating capacity and peak demand of electricity and gas,censtatd_peak_demand_annual
ELEC,Electricity,Y,2024,PROD,Terajoule,179590.0,,Generating capacity and peak demand of electricity and gas,censtatd_peak_demand_annual
GAS,Gas,Y,2024,PROD,Terajoule,27159.0,,Generating capacity and peak demand of electricity and gas,censtatd_peak_demand_annual
GAS,Gas,Y,2013,PLANT_FACTOR,(%),37.0,,Generating capacity and peak demand of electricity and gas,censtatd_peak_demand_annual
GAS,Gas,Y,2014,PLANT_FACTOR,(%),37.3,,Generating capacity and peak demand of electricity and gas,censtatd_peak_demand_annual
GAS,Gas,Y,2015,PLANT_FACTOR,(%),35.8,,Generating capacity and peak demand of electricity and gas,censtatd_peak_demand_annual
GAS,Gas,Y,2016,PLANT_FACTOR,(%),36.2,,Generating capacity and peak demand of electricity and gas,censtatd_peak_demand_annual
GAS,Gas,Y,2017,PLANT_FACTOR,(%),36.6,,Generating capacity and peak demand of electricity and gas,censtatd_peak_demand_annual
GAS,Gas,Y,2018,PLANT_FACTOR,(%),37.2,,Generating capacity and peak demand of electricity and gas,censtatd_peak_demand_annual
GAS,Gas,Y,2019,PLANT_FACTOR,(%),36.2,,Generating capacity and peak demand of electricity and gas,censtatd_peak_demand_annual
GAS,Gas,Y,2020,PLANT_FACTOR,(%),35.1,,Generating capacity and peak demand of electricity and gas,censtatd_peak_demand_annual
GAS,Gas,Y,2021,PLANT_FACTOR,(%),34.2,,Generating capacity and peak demand of electricity and gas,censtatd_peak_demand_annual
GAS,Gas,Y,2022,PLANT_FACTOR,(%),33.9,,Generating capacity and peak demand of electricity and gas,censtatd_peak_demand_annual
GAS,Gas,Y,2023,PLANT_FACTOR,(%),33.6,,Generating capacity and peak demand of electricity and gas,censtatd_peak_demand_annual
GAS,Gas,Y,2024,PLANT_FACTOR,(%),33.5,,Generating capacity and peak demand of electricity and gas,censtatd_peak_demand_annual
GAS,Gas,Y,2013,LOAD_FACTOR,(%),72.3,,Generating capacity and peak demand of electricity and gas,censtatd_peak_demand_annual
GAS,Gas,Y,2014,LOAD_FACTOR,(%),69.8,,Generating capacity and peak demand of electricity and gas,censtatd_peak_demand_annual
GAS,Gas,Y,2015,LOAD_FACTOR,(%),73.1,,Generating capacity and peak demand of electricity and gas,censtatd_peak_demand_annual
GAS,Gas,Y,2016,LOAD_FACTOR,(%),65.6,,Generating capacity and peak demand of electricity and gas,censtatd_peak_demand_annual
GAS,Gas,Y,2017,LOAD_FACTOR,(%),74.7,,Generating capacity and peak demand of electricity and gas,censtatd_peak_demand_annual
GAS,Gas,Y,2018,LOAD_FACTOR,(%),64.5,,Generating capacity and peak demand of electricity and gas,censtatd_peak_demand_annual
GAS,Gas,Y,2019,LOAD_FACTOR,(%),75.4,,Generating capacity and peak demand of electricity and gas,censtatd_peak_demand_annual
GAS,Gas,Y,2020,LOAD_FACTOR,(%),75.8,,Generating capacity and peak demand of electricity and gas,censtatd_peak_demand_annual
GAS,Gas,Y,2021,LOAD_FACTOR,(%),67.9,,Generating capacity and peak demand of electricity and gas,censtatd_peak_demand_annual
GAS,Gas,Y,2022,LOAD_FACTOR,(%),66.9,,Generating capacity and peak demand of electricity and gas,censtatd_peak_demand_annual
GAS,Gas,Y,2023,LOAD_FACTOR,(%),66.6,,Generating capacity and peak demand of electricity and gas,censtatd_peak_demand_annual
GAS,Gas,Y,2024,LOAD_FACTOR,(%),66.8,,Generating capacity and peak demand of electricity and gas,censtatd_peak_demand_annual
