user_type,user_typedesc,freq,period,sv,svdesc,figure,sd_value,table_title,source_name,prod_type,prod_typedesc
,Total,M,198012,ELEC_LOCAL,Terajoule,2973,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
1,Domestic,M,198012,ELEC_LOCAL,Terajoule,533,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
2,Commercial,M,198012,ELEC_LOCAL,Terajoule,1205,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
3,Industrial,M,198012,ELEC_LOCAL,Terajoule,1223,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
4,Street lighting,M,198012,ELEC_LOCAL,Terajoule,12,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
,Total,M,198002,ELEC_LOCAL,Terajoule,2423,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
1,Domestic,M,198002,ELEC_LOCAL,Terajoule,564,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
2,Commercial,M,198002,ELEC_LOCAL,Terajoule,954,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
3,Industrial,M,198002,ELEC_LOCAL,Terajoule,893,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
4,Street lighting,M,198002,ELEC_LOCAL,Terajoule,12,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
,Total,M,198003,ELEC_LOCAL,Terajoule,2586,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
1,Domestic,M,198003,ELEC_LOCAL,Terajoule,535,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
2,Commercial,M,198003,ELEC_LOCAL,Terajoule,1006,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
3,Industrial,M,198003,ELEC_LOCAL,Terajoule,1034,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
4,Street lighting,M,198003,ELEC_LOCAL,Terajoule,11,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
,Total,M,198004,ELEC_LOCAL,Terajoule,2999,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
1,Domestic,M,198004,ELEC_LOCAL,Terajoule,560,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
2,Commercial,M,198004,ELEC_LOCAL,Terajoule,1168,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
3,Industrial,M,198004,ELEC_LOCAL,Terajoule,1260,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
4,Street lighting,M,198004,ELEC_LOCAL,Terajoule,11,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
,Total,M,198005,ELEC_LOCAL,Terajoule,3213,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
1,Domestic,M,198005,ELEC_LOCAL,Terajoule,582,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
2,Commercial,M,198005,ELEC_LOCAL,Terajoule,1279,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
3,Industrial,M,198005,ELEC_LOCAL,Terajoule,1342,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
4,Street lighting,M,198005,ELEC_LOCAL,Terajoule,10,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
,Total,M,198006,ELEC_LOCAL,Terajoule,3481,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
1,Domestic,M,198006,ELEC_LOCAL,Terajoule,738,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
2,Commercial,M,198006,ELEC_LOCAL,Terajoule,1418,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
3,Industrial,M,198006,ELEC_LOCAL,Terajoule,1315,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
4,Street lighting,M,198006,ELEC_LOCAL,Terajoule,10,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
,Total,M,198007,ELEC_LOCAL,Terajoule,4119,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
1,Domestic,M,198007,ELEC_LOCAL,Terajoule,1044,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
2,Commercial,M,198007,ELEC_LOCAL,Terajoule,1618,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
3,Industrial,M,198007,ELEC_LOCAL,Terajoule,1447,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
4,Street lighting,M,198007,ELEC_LOCAL,Terajoule,10,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
,Total,M,198008,ELEC_LOCAL,Terajoule,3974,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
1,Domestic,M,198008,ELEC_LOCAL,Terajoule,983,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
2,Commercial,M,198008,ELEC_LOCAL,Terajoule,1556,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
3,Industrial,M,198008,ELEC_LOCAL,Terajoule,1425,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
4,Street lighting,M,198008,ELEC_LOCAL,Terajoule,10,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
,Total,M,198009,ELEC_LOCAL,Terajoule,3898,,Monthly statistics on consumption of electricity and gas by type of users,censtatd_energy_use_monthly,,
