period_month,public_transport_ferries_avg_daily_pax,public_transport_fran_bus_avg_daily_pax,public_transport_lrb_avg_daily_pax,public_transport_plb_avg_daily_pax,public_transport_rs_avg_daily_pax,public_transport_railways_avg_daily_pax,public_transport_tax_avg_daily_pax
2014-07-01,136.69499999999988,3984.358870967741,133.607709677419,1867.391419354834,236.64435483871,5212.664677419358,1012.46367741935
2014-08-01,144.6872903225806,4008.543129032259,132.643935483871,1866.07832258064,241.494225806452,5281.907741935488,1018.18448387097
2014-09-01,124.8747333333333,3979.2942666666704,144.023766666667,1896.428700000003,246.643233333333,5350.22233333333,988.225433333333
2014-10-01,137.1900645161291,3624.7769677419305,147.682161290323,1902.5364193548369,238.843322580645,5677.4847419354855,911.924516129032
2014-11-01,137.0466666666667,3845.92663333333,146.787333333333,1895.838766666663,240.8189,5626.40256666667,942.710633333333
2014-12-01,138.603,3866.3009032258014,142.065290322581,1839.943290322585,234.844935483871,5478.150645161292,957.408322580645
2015-01-01,134.752064516129,3891.0077096774185,142.523451612903,1846.124419354842,239.362838709677,5416.263000000001,947.434451548387
2015-02-01,142.7997499999999,3861.8910357142904,133.960571428571,1793.7790714285732,232.051785714286,5374.521321428567,976.074814428571
2015-03-01,129.376064516129,3947.616290322578,140.44364516129,1852.967483870963,234.619129032258,5334.665419354837,976.443213032258
2015-04-01,141.2983666666667,3835.1753666666664,134.290133333333,1827.681533333333,231.487566666667,5145.538666666667,940.426596366667
2015-05-01,126.4234516129033,3804.776741935481,136.720161290323,1836.04538709677,233.547516129032,5150.969709677416,951.991844387097
2015-06-01,123.1052333333333,3898.472533333333,138.8334,1890.57256666667,243.494666666667,5284.2346,989.981630333333
2015-07-01,129.6686774193548,3838.407129032258,133.718903225806,1857.854806451614,231.649451612903,5294.67325806452,966.513261612903
2015-08-01,140.61612903225802,3893.9780645161286,131.222096774194,1865.6599354838722,239.64964516129,5336.291096774196,983.464198225807
2015-09-01,127.0662666666667,4003.187333333337,143.416166666667,1904.4884,242.769033333333,5416.974299999996,977.902841166667
2015-10-01,135.444064516129,3964.8332580645165,141.100483870968,1880.398419354834,237.175709677419,5403.949258064516,961.203218387097
2015-11-01,138.1321333333334,4063.3770666666633,143.9942,1905.0497333333328,241.045133333333,5513.333099999996,969.3826285
2015-12-01,140.1292903225806,3981.8756129032226,141.041161290323,1859.073806451617,233.275709677419,5521.77874193548,956.783272645161
2016-01-01,121.1968387096774,3856.0739677419347,137.913258064516,1831.36967741935,231.831709677419,5374.789580645156,927.521681
2016-02-01,137.6462068965518,3835.214655172416,130.430206896552,1792.642620689659,227.736034482759,5203.719275862068,924.784258655172
2016-03-01,127.27390322580641,3850.612935483869,134.750387096774,1805.901806451617,228.940225806452,5228.904129032255,913.241854129032
2016-04-01,127.6363666666667,3934.7542333333363,137.2883,1843.379966666663,234.7693,5293.744533333331,926.849659533333
2016-05-01,131.1258387096774,3952.5213870967723,137.758483870968,1839.7803548387121,235.053387096774,5240.344064516128,926.582079548387
2016-06-01,120.00379999999998,3939.8363,138.504966666667,1864.4650333333332,240.5164,5268.189966666663,953.736243066667
2016-07-01,132.74316129032252,3964.3462903225777,133.665516129032,1837.201677419357,230.130419354839,5306.574838709677,954.591111032258
2016-08-01,132.9931935483871,3924.689903225803,130.177193548387,1814.166419354835,236.504838709677,5310.887935483871,931.296878612903
2016-09-01,123.3534666666666,4110.202899999996,145.116933333333,1880.8591333333302,240.884933333333,5502.5979666666635,944.644960666667
