period_month,mode,ttd_pto_code,avg_daily_pax
2014-02-01,Ferries,LFS,37.6688571428571
2014-02-01,TAX,TAX,969.821571392857
2014-02-01,RS,RS,232.65175
2014-02-01,LRB,LRB,128.466357142857
2014-03-01,Fran_Bus,KMB,2649.17774193548
2014-03-01,Fran_Bus,CTB,664.904709677419
2014-03-01,Fran_Bus,NWFB,501.054387096774
2014-03-01,Fran_Bus,LWB,91.8773225806452
2014-03-01,Fran_Bus,NLB,65.7757741935484
2014-03-01,Railways,MTRC,4440.84477419355
2014-03-01,Railways,MTRC,41.5588709677419
2014-03-01,Railways,MTRC,467.72435483871
2014-03-01,Railways,HKT,195.215548387097
2014-03-01,PLB,GMB,1502.94122580645
2014-03-01,PLB,RMB,353.242580645161
2014-03-01,Ferries,NWFF,39.9873225806452
2014-03-01,Ferries,STF,55.1969677419355
2014-03-01,Ferries,LFS,37.4064193548387
2014-03-01,TAX,TAX,981.082279322581
2014-03-01,RS,RS,234.19635483871
2014-03-01,LRB,LRB,136.626870967742
2014-04-01,Fran_Bus,KMB,2612.24556666667
2014-04-01,Fran_Bus,CTB,651.383266666667
2014-04-01,Fran_Bus,NWFB,498.4297
2014-04-01,Fran_Bus,LWB,95.2417
2014-04-01,Fran_Bus,NLB,68.3719333333333
2014-04-01,Railways,MTRC,4303.48003333333
2014-04-01,Railways,MTRC,42.1745333333333
2014-04-01,Railways,MTRC,457.243633333333
2014-04-01,Railways,HKT,194.974566666667
2014-04-01,PLB,GMB,1474.5614
2014-04-01,PLB,RMB,337.84
2014-04-01,Ferries,NWFF,44.6986333333333
2014-04-01,Ferries,STF,58.7576333333333
2014-04-01,Ferries,LFS,40.6714333333333
2014-04-01,TAX,TAX,939.4209457
2014-04-01,RS,RS,230.101166666667
2014-04-01,LRB,LRB,133.183266666667
2014-05-01,Fran_Bus,KMB,2618.85822580645
2014-05-01,Fran_Bus,CTB,644.336161290322
2014-05-01,Fran_Bus,NWFB,495.442451612903
2014-05-01,Fran_Bus,LWB,92.1709032258064
2014-05-01,Fran_Bus,NLB,65.3553225806452
2014-05-01,Railways,MTRC,4310.90158064516
2014-05-01,Railways,MTRC,36.9778064516129
2014-05-01,Railways,MTRC,473.658548387097
2014-05-01,Railways,HKT,187.546
2014-05-01,PLB,GMB,1485.60790322581
2014-05-01,PLB,RMB,348.764516129032
2014-05-01,Ferries,NWFF,38.9713548387097
2014-05-01,Ferries,STF,52.6959677419355
2014-05-01,Ferries,LFS,36.4532580645161
2014-05-01,TAX,TAX,977.942265387097
2014-05-01,RS,RS,236.665806451613
2014-05-01,LRB,LRB,136.802419354839
2014-06-01,Fran_Bus,KMB,2624.85813333333
2014-06-01,Fran_Bus,CTB,658.776033333333
2014-06-01,Fran_Bus,NWFB,499.598166666667
2014-06-01,Fran_Bus,LWB,95.4795333333333
2014-06-01,Fran_Bus,NLB,68.0042333333333
2014-06-01,Railways,MTRC,4329.53963333333
2014-06-01,Railways,MTRC,40.7085
2014-06-01,Railways,MTRC,478.831266666667
2014-06-01,Railways,HKT,191.300366666667
2014-06-01,PLB,GMB,1512.94973333333
2014-06-01,PLB,RMB,347.9112
2014-06-01,Ferries,NWFF,37.5974666666667
2014-06-01,Ferries,STF,53.9845666666667
2014-06-01,Ferries,LFS,36.8252333333333
2014-06-01,TAX,TAX,1003.68666936667
2014-06-01,RS,RS,240.9027
2014-06-01,LRB,LRB,136.8249
2014-07-01,PLB,RMB,353.198741935484
2014-07-01,Ferries,NWFF,40.3070967741935
2014-07-01,Ferries,STF,61.8018064516129
2014-07-01,Ferries,LFS,34.5860967741935
2014-07-01,TAX,TAX,1012.46367741935
2014-07-01,RS,RS,236.64435483871
2014-07-01,LRB,LRB,133.607709677419
2014-07-01,Fran_Bus,KMB,2638.37429032258
2014-07-01,Fran_Bus,CTB,673.446677419355
2014-07-01,Fran_Bus,NWFB,505.244258064516
2014-07-01,Fran_Bus,LWB,97.2868387096774
2014-07-01,Fran_Bus,NLB,70.0068064516129
2014-07-01,Railways,MTRC,4513.90725806452
2014-07-01,Railways,MTRC,37.9640967741935
2014-07-01,Railways,MTRC,476.435419354839
2014-07-01,Railways,HKT,184.357903225806
2014-07-01,PLB,GMB,1514.19267741935
2014-08-01,Railways,MTRC,39.883
2014-08-01,Railways,MTRC,472.130516129032
2014-08-01,Railways,HKT,185.102258064516
2014-08-01,PLB,GMB,1512.67767741935
2014-08-01,PLB,RMB,353.40064516129
2014-08-01,Ferries,NWFF,44.305064516129
2014-08-01,Ferries,STF,62.9997419354839
2014-08-01,Ferries,LFS,37.3824838709677
2014-08-01,TAX,TAX,1018.18448387097
2014-08-01,RS,RS,241.494225806452
2014-08-01,LRB,LRB,132.643935483871
2014-08-01,Fran_Bus,KMB,2647.56035483871
2014-08-01,Fran_Bus,CTB,681.776483870968
2014-08-01,Fran_Bus,NWFB,504.818741935484
2014-08-01,Fran_Bus,LWB,100.078483870968
2014-08-01,Fran_Bus,NLB,74.309064516129
2014-08-01,Railways,MTRC,4584.79196774194
2014-09-01,Fran_Bus,KMB,2657.17426666667
2014-09-01,LRB,LRB,144.023766666667
2014-09-01,Fran_Bus,NWFB,499.2241
2014-09-01,Fran_Bus,LWB,95.8553666666667
2014-09-01,Fran_Bus,NLB,69.7544666666667
2014-09-01,Railways,MTRC,4620.47003333333
2014-09-01,Railways,MTRC,43.3072
2014-09-01,Railways,MTRC,500.7351
2014-09-01,Railways,HKT,185.71
2014-09-01,PLB,GMB,1544.47716666667
2014-09-01,PLB,RMB,351.951533333333
2014-09-01,Ferries,NWFF,37.7396333333333
2014-09-01,Ferries,STF,50.1904
2014-09-01,Ferries,LFS,36.9447
2014-09-01,TAX,TAX,988.225433333333
2014-09-01,RS,RS,246.643233333333
2014-09-01,Fran_Bus,CTB,657.286066666667
2014-10-01,Railways,MTRC,44.4006451612903
2014-10-01,Fran_Bus,NLB,71.9597419354839
2014-10-01,LRB,LRB,147.682161290323
2014-10-01,RS,RS,238.843322580645
2014-10-01,TAX,TAX,911.924516129032
2014-10-01,Ferries,LFS,38.746
2014-10-01,Ferries,STF,57.4155483870968
2014-10-01,Ferries,NWFF,41.0285161290323
2014-10-01,PLB,RMB,348.348193548387
2014-10-01,PLB,GMB,1554.18822580645
2014-10-01,Railways,HKT,134.254580645161
2014-10-01,Railways,MTRC,499.882096774194
2014-10-01,Fran_Bus,KMB,2486.63367741935
2014-10-01,Fran_Bus,CTB,571.979516129032
2014-10-01,Fran_Bus,NWFB,396.221
2014-10-01,Fran_Bus,LWB,97.9830322580645
2014-10-01,Railways,MTRC,4998.94741935484
