"Year","Month","Domestic GFA","Non-domestic GFA","Total GFA","Domestic UFA","Non-domestic UFA","Total UFA","Total no. of domestic units#","Total declared building costs (HK$)","Total declared building costs (HK$) (Alteration and Addition work)"
"2020","8","108258.3","20646","128904.3","60844.6","10552.2","71396.8","1622","7205371260","532280863"
"2020","9","21956.4","94586.3","116542.7","10363.2","55244.8","65608","612","3557835068","717690257"
"2020","10","15724.7","40393","56117.7","6319.7","25917.3","32237","393","2747940660","686118539"
"2020","11","290163","32752.3","322915.3","162072.4","13132.1","175204.5","4392","15413485750","575638791.7"
"2020","12","144016.2","99319.5","243335.7","78623.9","58562.4","137186.3","2811","14302236459","456135719"
"2021","1","24111.8","28086.4","52198.2","13238.2","16782.9","30021.1","468","2121361290","274525250.3"
"2021","2","46451.7","2385.6","48837.3","25498.6","996.7","26495.3","783","3083407455","356637039"
"2021","3","111689.5","99269.9","210959.4","55638","46874.4","102512.4","1964","6949320659","661983801"
"2021","4","123833.3","55111","178944.3","74551.1","26755.9","101307","1973","5623018000","542463720"
"2021","5","200899.8","124723.1","325622.9","107108","52566.6","159674.6","3679","10850080845","415441510.8"
"2021","6","65786","43996.2","109782.2","36129.8","17415.1","53544.9","1170","3620408698","465750999.1"
"2021","7","68709.9","26059.2","94769.1","39861.4","7054.9","46916.3","1097","2515578190","246388170"
"2021","8","37874.5","7390.8","45265.3","18317.6","3647.6","21965.2","510","1214978508","657013975.8"
"2021","9","28016","41871.4","69887.4","14601.5","17477.7","32079.2","603","4092404954","728147653.3"
"2021","10","4709.9","35115.7","39825.6","2475.9","19657.3","22133.2","161","1486505000","828486753.9"
"2021","11","68161.9","40350.1","108512","38430.2","21470.6","59900.8","1295","4390075600","759874266.7"
"2021","12","89544.1","70567.5","160111.6","47225.5","49181.7","96407.2","1762","6154400152","368487743"
"2022","1","220135.1","202297.9","422433","119077.4","132859.4","251936.8","4747","16262254130","465922135"
"2022","2","198884.5","146516.7","345401.2","113188.5","99176.4","212364.9","2910","14931055382","174430430"
"2022","3","39108.2","59794","98902.2","22391.8","36429.2","58821","771","14580080988","258862425.5"
"2022","4","143427.2","98592.3","242019.5","77586.7","49492","127078.7","3696","6406795691","579834075"
"2022","5","120734.6","60352.5","181087.1","68155.5","31581.8","99737.3","1183","9738888318","438439270"
"2022","6","61125.9","38830.9","99956.8","34180.7","16817.1","50997.8","902","6633865940","1299471449"
"2022","7","64706.6","157829.8","222536.4","33672.6","114956.4","148629","1131","6168072298","870165667"
"2022","8","50836.3","337713.9","388550.2","27543.8","239879.2","267423","730","9849720305","1871120686"
"2022","9","189022.5","244255.9","433278.4","96634.2","148556.8","245191","3453","48731419991","612700360"
"2022","10","128181.1","58863.7","187044.8","69502.1","44540.4","114042.5","2156","6239653891","603638327.6"
"2022","11","53033.9","168626.5","221660.4","27555.2","117741.6","145296.8","1355","10802908820","653882689"
"2022","12","149530.1","169677.3","319207.4","77463.9","65531.1","142995","2705","14078332161","474425220"
"2023","1","152579.5","35954.5","188534","83001.9","16156.6","99158.5","3178","7365126566","484690625.6"
"2023","2","155635","107205.7","262840.7","82428.3","52663.2","135091.5","3115","11008325662","366026368.4"
"2023","3","19154.8","81197.4","100352.2","10245","32764.8","43009.8","503","8189610087","2092720875"
"2023","4","19815.4","7198.1","27013.5","10619.6","4020.6","14640.2","416","1273352294","204909544.2"
"2023","5","8904.8","27082.6","35987.4","4582.9","7321.5","11904.4","282","958313900","488732900"
"2023","6","38564.8","153804.8","192369.6","21174.2","94527.4","115701.6","876","10718998190","2353204171"
"2023","7","30617.4","12438.3","43055.7","16093.1","6268.3","22361.4","128","2635445100","208470972"
"2023","8","28999.5","228881.6","257881.1","13119.4","145885.6","159005","309","16819828664","910043792"
"2023","9","149002.2","580940.6","729942.8","79459.4","248450.5","327909.9","3195","24712170792","384226329.1"
"2023","10","15367.6","82267.4","97635","8410.7","24735.8","33146.5","480","3073137534","383083027"
"2023","11","164584.3","201716.3","366300.6","84335.7","148943","233278.7","3345","13941020326","464980130"
"2023","12","5449.8","55479.5","60929.3","2469.6","30992","33461.6","128","1985148153","657671927.2"
"2024","1","223091.9","99833","322924.9","121559.1","64239.7","185798.8","4623","17803881778","1223750873"
"2024","2","34730.5","120809.7","155540.2","19993.1","60723","80716.1","1756","4719851900","300139055"
"2024","3","185842.2","138997.2","324839.4","97108.8","74082.1","171190.9","2829","15004139960","259747584"
"2024","4","28263.4","116353.4","144616.8","13619.3","42385.3","56004.6","727","5589935771","588959004.8"
"2024","5","53683.7","65152.9","118836.6","27734.1","44218.5","71952.6","409","5341628041","1131551095"
"2024","6","143922.2","45798.2","189720.4","70954.7","21118.8","92073.5","3517","3979445809","580625914.5"
"2024","7","91963.8","36643.8","128607.6","48049.9","12324.7","60374.6","2209","6410625771","605593780"
"2024","8","69575.7","18416.5","87992.2","34459.2","9487.1","43946.3","2319","3318961890","214005714"
"2024","9","74896","26784.1","101680.1","39537","17517","57054","1674","5240101806","1127311529"
"2024","10","207034.1","37189.8","244223.9","113470.5","8280.9","121751.4","3715","21321335306","301111210"
"2024","11","238110.2","53440.8","291551","125405.7","31299","156704.7","4141","11886333610","335530473"
"2024","12","377282.3","81786.9","459069.2","198398.2","42287.4","240685.6","6121","20211397277","417001292.1"
"2025","1","85224.5","23398","108622.5","44250.9","10822.5","55073.4","1886","8061943658","371566461.5"
"2025","2","102563.8","47162.8","149726.6","56074.5","27688.6","83763.1","1624","8526643923","336150637"
"2025","3","147049.9","70865.1","217915","69192.8","48827.5","118020.3","2577","8603448740","712335360"
"2025","4","59869.4","11307.7","71177.1","31052.4","5750.1","36802.5","1610","4254136312","389730651"
"2025","5","22040.9","35351.8","57392.7","11177.8","22222.4","33400.2","330","3168226565","346688298.5"
"2025","6","180829.5","77802.8","258632.3","101443","44670.6","146113.6","2637","11368788300","814441468.9"
"2025","7","179523","32712.5","212235.5","92585.2","12521.7","105106.9","2391","11213441973","401363434"
"2025","8","39922.1","298334.7","338256.8","21701.2","111448.6","133149.8","592","11653799850","560470147"
"2025","9","51721","100004.5","151725.5","28423.7","50084.1","78507.8","1004","4133822305","390370210.9"
"2025","10","182436.5","85687.7","268124.2","94617.4","38618.6","133236","3820","7259984516","519600710.5"
"2025","11","39753","301457.9","341210.9","17854.3","223793","241647.3","1616","14104480000","1124416027"
"2025","12","41982.7","38153.7","80136.4","21827","22330.7","44157.7","892","19755807077","333312545"
"2026","1","34216.3","31107.3","65323.6","18102.4","16189.5","34291.9","1300","3689592852","204705219"
