period_month,electricity_commercial_tj,electricity_domestic_tj,electricity_industrial_tj,electricity_street_lighting_tj,electricity_total_tj,gas_total_tj,electricity_export_to_mainland_tj,year,month,quarter,sin_month,cos_month,source_dataset,temp_mean_c_avg,temp_max_c_avg,temp_max_c_peak,temp_min_c_avg,temp_min_c_low,temp_range_c_avg,rh_mean_pct_avg,rainfall_mm_sum,rainfall_day_count,hot_day_count,cool_day_count,days_in_month,weekend_days,public_holiday_days,business_days,immigration_arrival_hk_residents,immigration_departure_hk_residents,immigration_arrival_mainland_visitors,immigration_departure_mainland_visitors,immigration_arrival_other_visitors,immigration_departure_other_visitors,immigration_arrival_total_passengers,immigration_departure_total_passengers,immigration_total_cross_border_passengers,immigration_net_arrivals_total_passengers,public_transport_total_avg_daily_pax,public_transport_ferries_avg_daily_pax,public_transport_fran_bus_avg_daily_pax,public_transport_lrb_avg_daily_pax,public_transport_plb_avg_daily_pax,public_transport_rs_avg_daily_pax,public_transport_railways_avg_daily_pax,public_transport_tax_avg_daily_pax,cross_harbour_av_pax,cross_harbour_db_pax,cross_harbour_total_pax,hkelectric_re_generation_solar_photovoltaic,hkelectric_re_generation_wind_power,hkelectric_re_generation_grand_total,feature_year,population,district_area_m2,population_density_per_km2,ev_standard_chargers,ev_medium_iec62196_chargers,ev_quick_chademo_chargers,ev_quick_ccs_combo_chargers,ev_quick_iec62196_chargers,ev_quick_gbt_dc_chargers,ev_total_chargers,building_count,building_block_type_count,footprint_area_m2_sum,footprint_area_m2_mean,building_height_m_mean,completed_building_count,immigration_features_available,transport_features_available,re_generation_features_available,population_features_available,electricity_lag_1m,electricity_lag_2m,electricity_lag_3m,electricity_lag_6m,electricity_lag_12m,electricity_roll_mean_3m,electricity_roll_std_3m,electricity_roll_mean_6m,electricity_roll_std_6m,electricity_roll_mean_12m,electricity_roll_std_12m,electricity_yoy_delta_tj,electricity_yoy_growth,target_electricity_total_t_plus_1m,target_period_month
2019-03-01,8096.0,2551.0,827.0,31.0,11505.0,2451.0,,2019,3,1,1.0,6.123233995736766e-17,hong_kong_city_monthly,21.032258064516128,23.299999999999997,27.8,19.35483870967742,15.1,3.9451612903225803,84.38709677419355,186.5,17,0,0,31,10,0,21,,,,,,,,,,,13162.016805612902,128.7276451612903,4220.3401290322545,145.049419354839,1808.352870967743,219.587806451613,5755.144741935485,884.814192709677,14001626.0,14093042.0,28094668.0,,,,2019,7506300,1301677230.8828125,5766.636937260661,2148.0,6441.0,86.0,582.0,487.0,3.0,11240.0,338239.0,4.0,73508832.77734375,217.32808096447704,12.199518230926518,0.0,0,1,0,1,9828.0,11032.0,11082.0,15109.0,11151.0,10647.333333333334,710.003755858687,11958.833333333334,1858.9558807746673,13269.5,2519.205159641361,354.0,0.031746031746031855,12560.0,2019-04-01
2019-04-01,8745.0,2862.0,921.0,31.0,12560.0,2663.0,,2019,4,2,0.8660254037844387,-0.4999999999999998,hong_kong_city_monthly,24.696666666666665,27.240000000000002,31.5,22.926666666666666,18.9,4.3133333333333335,83.96666666666667,185.8,14,7,0,30,8,0,22,,,,,,,,,,,12668.452238466667,129.70276666666672,4082.8071666666638,138.354933333333,1755.6278666666672,213.872266666667,5487.06366666667,861.0235718,14581995.0,14517544.0,29099539.0,,,,2019,7506300,1301677230.8828125,5766.636937260661,2148.0,6441.0,86.0,582.0,487.0,3.0,11240.0,338239.0,4.0,73508832.77734375,217.32808096447704,12.199518230926518,0.0,0,1,0,1,11505.0,9828.0,11032.0,13014.0,11593.0,10788.333333333334,864.6457848931155,11358.166666666666,1038.8644602000336,13299.0,2494.089668140922,967.0,0.08341240403691885,13946.0,2019-05-01
2019-05-01,9660.0,3295.0,962.0,29.0,13946.0,2318.0,,2019,5,2,0.49999999999999994,-0.8660254037844387,hong_kong_city_monthly,25.32903225806452,27.225806451612904,32.3,23.65806451612903,18.9,3.5677419354838706,85.70967741935483,234.6,23,7,0,31,8,0,23,,,,,,,,,,,13002.007730838706,124.90558064516131,4180.405161290319,145.68164516129,1786.990903225811,218.74464516129,5677.203580645159,868.076214709677,14001984.0,14101376.0,28103360.0,,,,2019,7506300,1301677230.8828125,5766.636937260661,2148.0,6441.0,86.0,582.0,487.0,3.0,11240.0,338239.0,4.0,73508832.77734375,217.32808096447704,12.199518230926518,0.0,0,1,0,1,12560.0,11505.0,9828.0,11688.0,15627.0,11297.666666666666,1377.7504611987595,11282.5,901.6056233187762,13379.583333333334,2449.1756853845363,-1681.0,-0.10757023101043062,16133.0,2019-06-01
2019-06-01,10308.0,4788.0,1011.0,26.0,16133.0,2275.0,,2019,6,2,1.2246467991473532e-16,-1.0,hong_kong_city_monthly,29.0,31.506666666666668,33.3,26.983333333333334,24.6,4.5233333333333325,82.9,429.1,25,26,0,30,10,0,20,,,,,,,,,,,12862.921155166663,121.7695,4120.958,144.331633333333,1786.652,220.985266666667,5589.192599999997,879.032155166667,13072506.0,13458649.0,26531155.0,,,,2019,7506300,1301677230.8828125,5766.636937260661,2148.0,6441.0,86.0,582.0,487.0,3.0,11240.0,338239.0,4.0,73508832.77734375,217.32808096447704,12.199518230926518,0.0,0,1,0,1,13946.0,12560.0,11505.0,11082.0,15784.0,12670.333333333334,1224.2345908090058,11658.833333333334,1424.3949475713234,13239.5,2355.2174769299722,349.0,0.022110998479472954,17337.0,2019-07-01
2019-07-01,11034.0,5239.0,1033.0,32.0,17337.0,2030.0,,2019,7,3,-0.4999999999999997,-0.8660254037844388,hong_kong_city_monthly,29.506451612903227,32.05161290322581,35.0,27.700000000000003,24.5,4.3516129032258055,81.35483870967742,328.5,21,29,0,31,8,0,23,,,,,,,,,,,12612.924319548392,116.13900000000001,4062.6322258064524,135.390548387097,1760.396290322583,211.45564516129,5467.324935483873,859.585674387097,13308975.0,13167128.0,26476103.0,,,,2019,7506300,1301677230.8828125,5766.636937260661,2148.0,6441.0,86.0,582.0,487.0,3.0,11240.0,338239.0,4.0,73508832.77734375,217.32808096447704,12.199518230926518,0.0,0,1,0,1,16133.0,13946.0,12560.0,11032.0,16746.0,14213.0,1801.4019540346483,12500.666666666666,2261.7619385485136,13268.583333333334,2391.3718945155333,591.0,0.03529201003224647,17048.0,2019-08-01
2019-08-01,10497.0,5497.0,1024.0,30.0,17048.0,2067.0,,2019,8,3,-0.8660254037844385,-0.5000000000000004,hong_kong_city_monthly,29.03548387096774,31.858064516129033,35.1,26.903225806451612,22.9,4.9548387096774205,82.16129032258064,596.4000000000001,19,27,0,31,9,0,22,,,,,,,,,,,12077.853843645162,104.2326129032258,3902.44541935484,133.928774193548,1735.584645161286,207.158709677419,5151.12732258065,843.376359774194,11348188.0,11208958.0,22557146.0,,,,2019,7506300,1301677230.8828125,5766.636937260661,2148.0,6441.0,86.0,582.0,487.0,3.0,11240.0,338239.0,4.0,73508832.77734375,217.32808096447704,12.199518230926518,0.0,0,1,0,1,17337.0,16133.0,13946.0,9828.0,16580.0,15805.333333333334,1719.0824102797014,13551.5,2834.976878212604,13317.833333333334,2474.1524842158656,468.0,0.028226779252110923,15656.0,2019-09-01
2019-09-01,9827.0,4879.0,917.0,32.0,15656.0,2085.0,,2019,9,3,-1.0,-1.8369701987210297e-16,hong_kong_city_monthly,28.743333333333332,31.753333333333334,33.5,26.626666666666665,24.9,5.126666666666667,73.0,198.9,13,27,0,30,9,0,21,,,,,,,,,,,12568.527366666669,106.24310000000011,4268.960366666667,146.0275,1799.7905999999998,217.384033333333,5173.012433333336,857.109333333333,10581376.0,10543532.0,21124908.0,,,,2019,7506300,1301677230.8828125,5766.636937260661,2148.0,6441.0,86.0,582.0,487.0,3.0,11240.0,338239.0,4.0,73508832.77734375,217.32808096447704,12.199518230926518,0.0,0,1,0,1,17048.0,17337.0,16133.0,11505.0,15109.0,16839.333333333332,628.5382512886486,14754.833333333334,2443.704680739219,13356.833333333334,2533.2317782674895,547.0,0.03620358726586792,14209.0,2019-10-01
2019-10-01,9265.0,4016.0,895.0,34.0,14209.0,2028.0,,2019,10,4,-0.8660254037844386,0.5000000000000001,hong_kong_city_monthly,26.596774193548388,29.483870967741936,33.2,24.596774193548388,20.3,4.887096774193548,73.0,149.5,8,10,0,31,8,0,23,,,,,,,,,,,11467.570379354836,114.843,4264.701161290321,138.485129032258,1712.297225806452,206.013516129032,4202.301709677419,828.928637419355,10823390.0,10714781.0,21538171.0,,,,2019,7506300,1301677230.8828125,5766.636937260661,2148.0,6441.0,86.0,582.0,487.0,3.0,11240.0,338239.0,4.0,73508832.77734375,217.32808096447704,12.199518230926518,0.0,0,1,0,1,15656.0,17048.0,17337.0,12560.0,13014.0,16680.333333333332,898.7904835572103,15446.666666666666,1856.7362404678752,13402.416666666666,2572.2477068026596,1195.0,0.09182418933456282,11276.0,2019-11-01
2019-11-01,7712.0,2698.0,835.0,31.0,11276.0,2338.0,,2019,11,4,-0.5000000000000004,0.8660254037844384,hong_kong_city_monthly,22.973333333333336,26.096666666666668,29.3,20.973333333333336,17.0,5.123333333333333,68.8,0.0,0,0,0,30,9,0,21,,,,,,,,,,,10933.783109500004,127.0624666666667,3615.3614666666667,129.5528,1718.237366666667,206.9867,4324.770133333336,811.812176166667,9665480.0,9877259.0,19542739.0,,,,2019,7506300,1301677230.8828125,5766.636937260661,2148.0,6441.0,86.0,582.0,487.0,3.0,11240.0,338239.0,4.0,73508832.77734375,217.32808096447704,12.199518230926518,0.0,0,1,0,1,14209.0,15656.0,17048.0,13946.0,11688.0,15637.666666666666,1419.5887902252118,15721.5,1413.0195681589541,13502.0,2578.9664596500725,-412.0,-0.03524982888432582,10760.0,2019-12-01
2019-12-01,7543.0,2370.0,813.0,34.0,10760.0,2388.0,,2019,12,4,-2.4492935982947064e-16,1.0,hong_kong_city_monthly,19.070967741935487,21.893548387096775,27.3,17.003225806451614,12.7,4.890322580645161,69.51612903225806,13.500000000000002,7,0,0,31,9,0,22,,,,,,,,,,,11801.640907032262,118.0784193548386,4038.103064516129,151.272741935484,1709.404387096776,202.905451612903,4763.783774193552,818.093068322581,11575527.0,11676093.0,23251620.0,,,,2019,7506300,1301677230.8828125,5766.636937260661,2148.0,6441.0,86.0,582.0,487.0,3.0,11240.0,338239.0,4.0,73508832.77734375,217.32808096447704,12.199518230926518,0.0,0,1,0,1,11276.0,14209.0,15656.0,16133.0,11082.0,13713.666666666666,2231.617425396482,15276.5,2254.1092032109073,13467.666666666666,2607.891566810716,-322.0,-0.029056127052878522,10765.0,2020-01-01
